Table 1: Summary of Import and Export of Fish and Fishery Products,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Year,Exports,,,Imports,,,Balance of Fish Trade,,Exchange Rate(1),Contribution to National Exports Earnings (%)
,Quantity (Mt),Value (RS.Mn),Value    (US $ Mn),Quantity (Mt),Value (RS.Mn),Value     (US $ Mn), (Rs.Mn),US $ Mn,Rs./1 US$,
2000,18554,10328,136.294264349025,77339,5132,67.7248416575519,5196,68.569422691473,75.7772166666667,2.56705666539898
2005,15985,10695,106.418969342979,76584,7099,70.6375187812814,3596,35.7814505616971,100.499,1.72645830762699
2006,18647,14440,138.896470428109,77382,9681,93.1202721755213,4759,45.7761982525881,103.962325,2.05283493462073
2007,21422,19123,172.866089572531,86156,11961,108.123793200703,7162,64.742296371828,110.6232,2.25333889053888
2008,20594,19077,176.094680236664,76266,12521,115.577999226465,6556,60.516681010199,108.333766666667,2.15771613012328
2009,18714,21015,182.826899261881,75411,13939,121.266911673156,7076,61.5599875887258,114.944792505058,2.56854219123506
2010,18325,19834,175.42169065508,80013.042,14162,125.255721642495,5672,50.1659690125851,113.064695283312,2.11512954319465
2011,18462,21876,197.856097716198,81957,16240,146.881652354683,5636,50.9744453615145,110.5652049773,1.97506195022227
2012,18631,26363,206.601153304275,71413,17401,136.367889415001,8962,70.2332638892732,127.60335350681,2.25043077686914
2013,23910,31792,246.239830552628,78401,21119,163.573823019658,10673,82.6660075329706,129.109900411523,2.46003853404832
2014,26320,34797,266.519938509028,78712,18860,144.454005813152,15937,122.065932695875,130.560588429752,2.41306676328663
2015(2),17461,24716,181.818464367216,120046,30729,226.051933627617,-6013,-44.233469260401,135.93778875,1.78047697023484
2016(2),17593,26802,184.077601334698,115693,35172,241.563218944258,-8370,-57.4856176095599,145.601636514523,1.80160753425019
2017,24827,39230,257.317545173152,106020,33969,222.809576650186,5261,34.5079685229658,152.457540248963,2.3
2018,27998.1,47948.6,294.995693367786,84463.1,32726.4,201.343669250646,15222.2,93.6520241171404,162.54,2.5
2019,28770.8,53482.9,299.158843166034,95636.9,38952.4,217.881882293979,14530.5,81.2769608720556,178.7776,1.54
2020,21298.340255,39873.974728,214.926466189244,85809.110189,35504.31863,191.373390529948,4369.656098,23.5530756592955,185.5238,2.17
2021,26749.25773,63222.485357,317.888760157871,56176.2537,25080.017695,126.104750308085,38142.467662,191.784009849787,198.882418257262,2.58523819259865
2022,25729.91779,97242.840005,302.180355898014,41736.69885,21664.17126,70.3326823284381,75578.668745,231.847673569576,324.550599166667,2.4
2023,24503.15367,99118.048064846,302.663548602672,48808.174155,26733.741278,82.1713176541753,72384.306786846,220.492230948497,327.53305661157,2.6(3)
2024,22556.26441,86240.9070070492,285.162660269998,58351.322977,36671.735484,121.554561851206,49569.1715230492,163.608098418792,302.118046694215,2.4
2025 Jan-Aug,16494.59204,60318.5125604139,201.738067364575,37686.182065,22717.316132,76.0341033316645,37601.1964284139,125.70396403291,298.687230378415,na
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,
(1) Average of the relevant period,,,,,,,,,,
   (2) EU fish export ban (2015.01.15 - 2016.06.15),,,,,,,,,,
   (3) Revised,,,,,,,,,,
