"Table 5.4.1:  Production of Fish Fingerlings (Mn)","","","","","","","","","",""
"Source of Production","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Aquaculture Centres","","","","","","","","","",""
"Iginiyagala","6.49","8.44","8.10","8.90","7.36","10.34","10.40","11.04","9.86","3.67"
"Dambulla","2.29","3.98","4.39","9.06","9.62","13.36","7.50","6.60","9.30","6.54"
"Udawalawe","4.50","7.13","6.60","14.32","11.95","12.28","13.41","10.89","15.55","7.80"
"Carp centre","3.36","2.50","2.28","6.17","3.77","4.08","5.96","4.70","6.50","3.35"
"Thilapia centre","1.14","4.63","4.32","8.15","8.18","8.20","7.45","6.19","8.91","3.18"
"udawalawe (Carp)-New","","","","","","","","","0.14","1.27"
"Nuwara - Eliya","0.20","0.15","0.17","0.10","0.01","0.24","0.33","0.16","0.18","0.22"
"Kalawewa","0.26","0.55","0.71","0.87","1.39","1.84","3.93","5.22","7.01","3.44"
"Polonnaruwa","-","0.10","1.22","1.68","0.63","1.35","-","-","-","-"
"Iranamadu","-","-","-","-","-","0.38","0.64","0.94","2.01","3.92"
"Muruthawela","-","-","-","-","-","-","1.42","3.21","4.29","2.51"
"Sewanapitiya","","","","","","","","","","1.08"
"Sub-Total","13.74","20.35","21.19","34.93","30.96","39.79","37.63","38.06","48.20","29.18"
"Other","","","","","","","","","",""
"Community based Mini -","","","","","","","","","",""
"","8.03","8.47","5.63","5.76","4.27","7.24","10.34","13.39","16.74","15.03"
"Hatcheries","","","","","","","","","",""
"Water bassed Mini-","","","","","","","","","",""
"","","","","","","","","","0.46","0.04"
"Hatcheries","","","","","","","","","",""
"Private  Ponds","11.70","14.89","9.86","8.36","4.75","5.84","4.00","3.30","7.12","14.26"
"Pens & Cages","1.40","1.11","0.72","0.26","0.96","2.40","18.12","28.16","38.79","30.09"
"Sub-Total","21.13","24.47","16.21","14.38","9.98","15.48","32.46","44.85","63.11","59.42"
"Total","34.87","44.82","37.40","49.31","40.94","55.27","70.09","82.91","111.31","88.60"
