"","Villus","Hectares","","","","5,000"
"3.  Annual Fish Production","","","2016","2017","2018","2019"
"3.1","Marine Sector","Mt.","456,990","449,440","439,370","415,490"
"","Coastal Waters","Mt.","274,160","259,720","249,020","242,580"
"","Offshore/Deep Sea Waters","Mt.","182,830","189,720","190,350","172,910"
"3.2","Inland and Aquaculture Sector","Mt.","73,930","81,870","87,690","90,340"
"","Inland Capture Fisheries","Mt.","58,410","68,500","71,020","73,230"
"","Aquaculture Fisheries","Mt.","9,490","8,740","8,490","10,710"
"","Shrimp Farms","Mt.","6,030","4,630","8,180","6,400"
"3.3","Total Production","Mt.","530,920","531,310","527,060","505,830"
"4. Fishing Fleet (Operting Boats)","","","2016","2017","2018","2019"
"4.1","Multy-day Boats (Offshore Vessels) -IMUL","Numbers","3,996","4,196","4,581","4,885"
"","Multy-day Boats  - High seas IMUL","Numbers","1,407","1,346","1,281","1,189"
"","Multy-day Boats  - Other IMUL","Numbers","2,589","2,850","3,300","3,696"
"4.2","Inboard Single Day Boats - IDAY","Numbers","786","868","918","948"
"4.3","Outboard Motor FRP Boats - OFRP","Numbers","24,282","22,394","24,132","23,404"
"4.4","Motorized Traditional Boats - MTRB","Numbers","1,839","2,185","2,206","2,140"
"4.5","Non-motorized Traditional Boats - NTRB","Numbers","17,853","16,035","17,434","16,312"
"4.6","Non-motorized Traditional Beach-seine Boats - NBSB","Numbers","1,913","1,212","1,320","1,287"
"","Total Marine Fishing Fleet","Numbers","50,669","46,890","50,591","48,976"
"4.7","Inland Fishing Fleet","Numbers","9,661","9,745","9,795","9,870"
"5. Infrastructure Facilities (Marine sector)**","","","2016","2017","2018","2019"
"5.1","Major Fishery Harbours(3)","Numbers","22*","22*","22*","22*"
"5.2","Functioning Major Fishery Harbours(4)","Numbers","21","21","21","21"
"5.3","Proposed Fishery Harbours for upgrading (5)","Numbers","6","6","12","8"
"5.4","Anchorages","Numbers","58","na","na","42"
"5.5","Minor Fish Landing Centers","Numbers","890","na","na","883"
"5.6","Active Ice Plants","Numbers","na","94","94","104"
"5.7","Ice Production Capacity","Mt/day","na","3,309.5","3,309.5","3,581.0"
"5.8","Boat Manufacturing Yards (Registered)","Numbers","na","61","72","72"
"5.9","Fishing Gear Factories (8)","Numbers","na","10","10","10"
