"Table 1.7: Fishing Households and Active Fishers (Marine Fisheries) - 2019","","","","","","",""
"","","","","Active Fishers","","",""
"","","Number of FI","","","Fishing Household","Average Fishers per",""
"","Fisheries District","","Fishing Households","(Fishermen &","","",""
"","","Divisions","","","Population","Household",""
"","","","","women)","","",""
"1","Negombo","13","8,450","9,590","39,430","","1.1"
"2","Colombo","10","1,960","2,300","8,610","","1.2"
"3","Kalutara","9","3,990","4,180","16,160","","1.0"
"4","Galle","9","9,190","11,390","44,160","","1.2"
"5","Matara","9","11,950","14,840","51,080","","1.2"
"6","Tangalle","12","9,160","13,780","37,540","","1.5"
"7","Kalmunai","12","14,500","15,970","78,050","","1.1"
"8","Batticaloa","16","27,290","40,330","121,030","","1.5"
"9","Trincomalee","11","29,220","29,700","102,520","","1.0"
"10","Mullaitivu","4","6,450","8,950","27,770","","1.4"
"11","Kilinochchi","5","4,070","4,150","12,890","","1.0"
"12","Jaffna","14","22,940","24,070","104,500","","1.0"
"13","Mannar","6","16,850","18,610","70,880","","1.1"
"14","Puttalam","8","11,130","16,860","51,250","","1.5"
"15","Chilaw","11","8,240","9,890","38,890","","1.2"
"","Total","149","185,390","224,610","804,760","","1.2"
