"","Table 4.11 : Shrimps Production (Mt)","","",""
"","","Shrimps","",""
"Year","","","","Exported Quantity (1)"
"","Aquaculture","Wild Capture","Total",""
"1990","680","4,470","5,150","1,855"
"1995","3,600","8,000","11,600","2,781"
"1999","3,820","7,680","11,500","2,715"
"2000","4,360","7,540","11,900","4,855"
"2001","3,540","7,360","10,900","3,941"
"2002","2,560","9,820","12,380","3,202"
"2003","3,360","10,190","13,550","4,467"
"2004","2,390","10,730","13,120","2,462"
"2005","1,570","4,680","6,250","1,800"
"2006","2,480","7,840","10,320","1,837"
"2007","3,580","7,320","10,900","2,023"
"2008","2,230","9,240","11,470","854"
"2009","3,550","13,110","16,660","1,432"
"2010","3,480","17,640","21,120","1,262"
"2011","4,150","22,680","26,830","1,380"
"2012","3,310","26,730","30,040","1,078"
"2013","4,430","29,230","33,660","1,625"
"2014","5,150","23,940","29,090","2,001"
"2015","","","",""
"","7,090","20,090","27,180","1,341"
"2016","","","",""
"","6,030","19,720","25,750","1,667"
"2017","","","",""
"","4,630","17,620","22,250","1,844"
"2018","","","",""
"","8,180","16,970","25,150","1,984"
"2019","","","",""
"","6,400","16,930","23,330","2,115"
"Source: Statistics Unit, Ministry of Fisheries","","","",""
