"Variety","2010","2011","2012","2013","2014","2015","2016","2017","2018","","2019"
"Fish Fingerlings","","","","","","","","","","",""
"Tilapia","7.9","15.3","10.6","17.8","18.5","24.4","30.1","21.2","24.3","","16.6"
"Carp","6.7","8.1","8.5","7.2","5.9","5.9","8.1","1.9","3.5","","2.6"
"Catla/Rohu","18.9","19.0","14.5","18.6","10.1","16.2","18.7","10.5","11.0","","5.6"
"Hirikanaya","1.3","1.0","0.2","-","-","0.3","0.2","0.4","0.1","-",""
"Milk Fish","-","1.5","3.6","-","-","-","-","-","","","-"
"Mirigal","-","-","-","-","-","-","12.6","4.1","9.3","","4.4"
"Other","-","-","-","5.7","6.5","8.5","-","-","","",""
"Total","34.9","44.8","37.4","49.3","40.9","55.3","69.7","38.1","48.2","","29.2"
"Post Larvae","","","","","","","","","","",""
"Freshwater Prawns","13.0","12.2","16.8","20.3","10.6","23.7","39.8","41.4","51.1","","65.9"
"Shrimps*","","","301.3","389.0","350.5","484.0","554.3","478.4","519.9","","428.0"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","",""
