"Table 1.8 : Active Fishers in Inland Fisheries and Aquaculture Sector - 2019","","","","","","","","",""
"","","Inland Fisheries","","","Aquaculture","","","Total",""
"District","","","","","","","","",""
"","Male","Female","Total","Male","Female","Total","Male","Female","Total"
"1 Colombo","144","2","146","399","11","410","543","13","556"
"2 Gampaha","141","-","141","1,319","219","1,538","1,460","219","1,679"
"3 Kalutara","490","59","549","702","116","818","1,192","175","1,367"
"4 Kandy","437","-","437","250","8","258","687","8","695"
"5 Matale","1,759","3","1,762","700","23","723","2,459","26","2,485"
"6 Nuwara Eliya","1,215","34","1,249","366","50","416","1,581","84","1,665"
"7 Galle","953","74","1,027","331","41","372","1,284","115","1,399"
"8 Matara","548","47","595","138","10","148","686","57","743"
"9 Hambantota","5,267","86","5,353","4,182","330","4,512","9,449","416","9,865"
"10 Jaffna","100","3","103","161","25","186","261","28","289"
"11 Mannar","849","18","867","821","108","929","1,670","126","1,796"
"12 Vavuniya","1,058","6","1,064","373","17","390","1,431","23","1,454"
"13 Mullaitivu","635","8","643","287","2","289","922","10","932"
"14 Kilinochchi","410","11","421","454","114","568","864","125","989"
"15 Batticaloa","1,464","27","1,491","1,058","36","1,094","2,522","63","2,585"
"16 Ampara","6,971","-","6,971","582","6","588","7,553","6","7,559"
"17 Trincomalee","1,236","70","1,306","305","35","340","1,541","105","1,646"
"18 Kurunegala","2,814","507","3,321","2,405","537","2,942","5,219","1,044","6,263"
"19 Puttalam","3,019","101","3,120","5,099","535","5,634","8,118","636","8,754"
"20 Anuradhapura","3,843","410","4,253","1,260","129","1,389","5,103","539","5,642"
"21 Polonnaruwa","5,009","219","5,228","758","182","940","5,767","401","6,168"
"22 Badulla","1,201","14","1,215","479","20","499","1,680","34","1,714"
"23 Monaragala","1,828","13","1,841","1,337","42","1,379","3,165","55","3,220"
"24 Ratnapura","504","2","506","372","27","399","876","29","905"
"25 Kegalle","130","-","130","181","34","215","311","34","345"
"Total","42,025","1,714","43,739","24,319","2,657","26,976","66,344","4,371","70,715"
