"","Table 7.1: Annual Average Retail Prices (Consumer) of Fresh Fish in Colombo Region -  (Rs/Kg)","","","","","","","","","","","","","",""
"","Retail","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Salaya/Sardinella","30.00","47.00","64.00","113.66","147.00","154.00","178.00","226.00","227.00","223.00","195.00","220.00","249.00","254.00"
"2","Hurulla/ Herrings","42.00","75.00","103.00","161.42","290.00","285.00","308.00","342.00","336.00","352.00","396.00","409.00","418.00","484.00"
"3","Balaya/ Skipjack tuna","62.00","102.00","151.00","241.75","435.00","402.00","454.00","550.00","557.00","473.00","540.00","560.00","612.00","699.00"
"4","Kelawalla/ Yellowfin tuna","61.00","140.00","212.00","315.81","611.00","672.00","733.00","746.00","768.00","774.00","834.00","918.00","951.00","1011.00"
"5","Thora/ Seer","96.00","184.00","381.00","528.78","923.00","1090.00","1173.00","1259.00","1203.00","1285.00","1366.00","1,415.00","1547.00","1544.00"
"6","Para/ Travelly","80.00","165.00","245.00","336.27","560.00","638.00","720.00","797.00","805.00","800.00","875.00","958.00","1003.00","1052.00"
"7","Mora/ Sharks","53.00","97.00","160.00","258.33","428.00","453.00","510.00","571.00","620.00","657.00","712.00","724.00","757.00","891.00"
"8","Thalapath/ Sail fish","67.00","121.00","247.00","341.92","697.00","703.00","808.00","818.00","881.00","861.00","897.00","1,004.00","1093.00","1168.00"
"9","Kumbalawa/ Indian mackerel 53.00","","96.00","132.00","212.83","356.00","350.00","387.00","432.00","426.00","425.00","480.00","456.00","510.00","567.00"
"10","Gal malu/ Rock fish","54.00","106.00","148.00","245.36","433.00","484.00","570.00","660.00","663.00","636.00","626.00","662.00","699.00","801.00"
"11","Issa/ Prawns","140.00","215.00","392.00","","737.00","748.00","813.00","818.00","972.00","878.00","916.00","1,152.00","1091.00","1159.00"
"12","Theppili/ Thilapia","44.00","55.00","94.00","159.44","242.00","273.00","274.00","299.00","326.00","345.00","401.00","-","383.00","483.00"
"Source  : Statistics Unit, Ministry of Fisheries","","","","","","","","","","","","","","",""
