"","","Summary Statistics at a Glance","","","",""
"","Description","Unit","","Indicator","",""
"6. Social Information**","","","2016","2017","2018","2019"
"","","","148","149","149","149"
"6.1","Fisheries Inspector Divisions (Marine)","Numbers","","","",""
"6.2","Marine Fishing Households","Numbers","188,690","183,650","181,880","185,390"
"6.3","Inland Fishing Households","Numbers","49,450","54,170","56,250","64,290"
"6.4","Marine Fishers (Men & women)","Numbers","218,830","220,870","218,130","224,610"
"6.5","Inland Fishers (Men & women)","Numbers","54,520","60,595","61,590","70,715"
"6.6","Marine Fishing Household Population","Numbers","827,480","802,340","795,190","804,760"
"6.7","Inland Fishing Household Population","Numbers","210,160","216,270","222,270","247,570"
"6.8","Direct and Indirect Employments (Marine & Inland)","Numbers","580,000","582,000","583,000","585,000"
"6.9","Fishing and Related Livelihoods","Million","2.7","2.7","2.7","2.7"
"6.10","Fisher Organizations (FO) - Marine","Numbers","802","808","977","1,000"
"6.11","Fisher Organizations (FO) - Inland","Numbers","287","319","434","445"
"6.12","No. of Memberships in FO - Marine","Numbers","85,208","86,347","83,518","84,321"
"6.13","No. of Memberships in FO - Inland","Numbers","12,155","12,401","21,852","21,550"
"7. Fish Trade and Processing","","","2016","2017","2018","2019"
"7.1","Fish Processing Plants (EU Approved)","Numbers","28","33","34","34"
"7.2","Fish Packing Centers","Numbers","na","16","",""
"","","","","","38","30"
"7.3","Fish Processing Plants (Other)","Numbers","6","19","",""
"","","Rs.Mn","26,802","39,230","47,949","53,483"
"7.4","Annual Export Earnings","","","","",""
"","","US$ (million)","184","257","295","299"
"7.5","Annual Export Volume","Mt","17,593","24,827","27,998","28,771"
"","","Rs.Mn","35,172","33,969","32,726","38,952"
"7.6","Annual Import Expenditure","","","","",""
"","","US$ (million)","242","223","201","218"
"7.7","Annual Import Volume","Mt","115,693","106,020","84,463","95,637"
"","","Rs.Mn","(8,370)","5,261","15,222","14,531"
"7.8","Balance of Fish Trade (9)","","","","",""
"","","US$ (million)","(57)","35","94","81"
"","","Mt","8,863","13,279","13,448","14,252"
"7.9","Volume of Tuna Export","","","","",""
"","","Percentage","50.4","53.5","48.0","49.5"
"","","Rs.Mn.","13,611","19,698","22,277","24,309"
"7.10","Value of Tuna Export","","","","",""
"","","Percentage","50.8","50.2","46.5","45.5"
"","","Mt","2,542","5,725","7,597.0","8,980.0"
"7.11","Total Fish and Fishery Products Export to EU","","","","",""
"","","Percentage","14.4","23.1","27.1","31.2"
"","","Mt","1,739","4,142","4,936.0","5,200.0"
"7.12","Tuna Export to EU","","","","",""
"","","Percentage","19.6","31.2","36.7","36.5"
"8.  Other Selected Imports","","Unit","2016","2017","2018","2019"
"8.1","Imports of frozen mackerel For canned fish industry","Mt","7,099.5","4,052.2","1,401.2","3,391.0"
"","Value of imported frozen mackerel","Rs.Mn.","888.3","524.3","222.0","645.2"
"8.2","imports of baits for multiday fishery","Mt","4,341.8","2,679.5","4,597.8","5,097.3"
"","Value of imported baits","Rs.Mn.","757","640","1,103.6","1,141.9"
"9.  Spply of Fishery Products","","Unit","2016","2017","2018","2019"
"9.1","Supply of Dried fish","Mt","99,698","93,202","93,426","89,849"
"","Imported volume","Mt","34,978","33,012","32,176","34,969"
"","Domestically produced volume","Mt","64,720","60,190","61,250","54,880"
"9.2","Supply of Canned fish","Mt","39,030","44,231","30,793","39,457"
"","Imported volume","Mt","37,089","40,614","28,068","36,806"
"","Domestically produced volume","Mt","1,941","3,617","2,725","2,651"
"","","Millions of","","","",""
"","Domestically produced volume","cans ( 425g)","4.6","8.5","6","6"
"Note:","(1). Coastal Resources Management Plan (CRMP), CCD-1997","","","","",""
