"","Table 1.2:  Information of Perennial Tanks by Districts - 2019","","","","","","","","","","","",""
"","","","","2018","","","","","","2019","","",""
"","District","","Tanks","","","","Landing","","Tanks","","","Area","Landing"
"","","","","","","Area (Ha)","","","","","","",""
"","","Major","Medium Minor","","Total","","Sites","Major","Medium","Minor","Total","(Ha)","Sites"
"1","Colombo","-","-","12","12","120","5","-","-","12","12","120","5"
"2","Gampaha","-","-","50","50","95","36","-","-","50","50","95","36"
"3","Kalutara","1","-","24","25","1,410","22","1","-","24","25","1,410","22"
"4","Kandy","1","-","59","60","2,720","51","1","-","59","60","2,720","51"
"5","Matale","1","4","59","64","6,000","48","1","4","59","64","6,000","48"
"6","Nuwara Eliya","1","3","44","48","4,300","39","1","3","44","48","4,300","39"
"7","Galle","-","-","7","7","25","5","-","-","7","7","25","5"
"8","Matara","-","-","35","35","970","35","-","-","35","35","970","35"
"9","Hambantota","3","6","85","94","9,685","79","3","6","85","94","9,685","79"
"10","Jaffna","-","-","-","-","-","","-","-","-","-","-","-"
"11","Mannar","1","3","39","43","6,360","10","1","3","39","43","6,360","10"
"12","Vavunia","1","4","32","37","4,220","24","1","4","32","37","4,220","24"
"13","Mulathivu","2","5","36","43","10,600","33","2","5","36","43","10,600","33"
"14","Killinochchi","2","2","22","26","5,600","9","2","2","22","26","5,600","9"
"15","Batticaloa","2","5","53","60","5,620","22","2","5","53","60","5,620","22"
"16","Ampara","6","13","120","139","23,030","88","6","13","120","139","23,030","88"
"17","Trincomalee","2","4","94","100","9,360","80","2","4","94","100","9,360","80"
"18","Kurunegala","2","9","43","54","9,200","66","2","9","43","54","9,200","66"
"19","Puttalam","","5","42","47","4,900","39","-","5","42","47","4,900","39"
"20","Anuradhapura","10","12","100","122","25,100","169","10","12","100","122","25,100","169"
"21","Polonnaruwa","5","3","117","125","19,870","92","5","3","117","125","19,870","92"
"22","Badulla","1","6","44","51","5,430","44","1","6","44","51","5,430","44"
"23","Monaragala","1","6","86","93","7,810","84","1","6","86","93","7,810","84"
"24","Ratnapura","1","2","41","44","4,940","24","1","2","41","44","4,940","24"
"25","Kegalle","43","","19","19","20","19","-","-","19","19","20","19"
"Total","","43","92","1,263","1,398","167,385","1,123","43","92","1,263","1,398","167,385","1,123"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","",""
