"","Table 4.9: Inland and Aquaculture Fish Production by District (Mt)","","","","","","","","","","",""
"District","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1 Colombo","120","110","120","120","270","620","580","570","910","230","90","150"
"2 Gampaha","210","180","190","210","520","320","320","310","320","480","1,000","990"
"3 Kalutara","60","80","100","100","410","420","340","430","620","960","2,070","2,110"
"4 Kandy","270","290","320","380","920","920","780","680","780","1,340","690","1,080"
"5 Matale","520","640","720","820","2,130","1,700","940","840","1,290","1,320","1,230","1,460"
"6 Nuwara Eliya","100","90","90","160","980","420","310","170","80","310","550","590"
"7 Galle","50","50","60","60","240","550","450","490","650","900","1,000","740"
"8 Matara","20","30","40","60","380","270","180","230","400","410","570","840"
"9 Hambantota","3,270","2,720","3,280","3,480","4,520","7,320","6,460","4,210","4,480","9,330","8,180","7,980"
"10 Jaffna","60","70","80","80","-","-","-","-","-","","140","140"
"11 Mannar","320","180","220","290","360","860","1,290","1,350","2,190","1,710","630","1,315"
"12 Vavunia","260","420","490","540","830","1,520","1,280","1,500","2,770","2,290","400","490"
"13 Mullaitivu","ne","ne","10","720","790","550","540","400","650","1,800","1,230","1,140"
"14 Kilinochchi","ne","ne","10","520","830","610","470","490","800","1,370","1,090","925"
"15 Batticaloa","1,750","1,680","1,640","1,580","680","880","1,510","2,330","2,000","3,000","2,700","2,790"
"16 Ampara","5,240","5,430","6,140","6,920","6,940","5,140","5,460","2,710","9,690","10,430","14,110","12,480"
"17 Trincomalee","1,650","1,720","1,840","2,170","1,670","5,210","5,230","6,720","6,250","6,090","6,490","4,850"
"18 Kurunegala","4,190","3,590","4,390","4,960","5,180","4,760","2,050","2,620","5,690","3,120","3,870","4,410"
"19 Puttalam","5,290","5,290","5,820","6,180","6,220","8,400","8,670","10,620","10,700","6,480","8,660","6,810"
"20 Anuradhapura","9,680","10,770","11,920","12,910","14,340","9,650","16,320","11,940","12,990","15,760","12,940","17,840"
"21 Polonnaruwa","7,320","7,280","7,950","9,830","12,870","7,510","7,560","7,160","3,530","8,310","11,600","9,960"
"22 Badulla","960","1,140","1,240","1,320","1,650","1,010","820","880","470","850","1,470","2,120"
"23 Monaragala","1,910","2,460","2,950","3,160","3,670","6,500","10,190","7,770","4,200","3,140","5,240","7,550"
"24 Ratnapura","1,210","2,320","2,770","2,970","2,530","1,760","3,980","2,860","2,450","2,220","1,720","1,550"
"25 Kegalle","30","20","20","20","20","10","20","20","20","20","20","30"
"Total","44,490","46,560","52,410","59,560","68,950","66,910","75,750","67,300","73,930","81,870","87,690","90,340"
"Source : Statistics Unit, Ministry of Fisheries","","","","","","","","","","","",""
"Note    : Estimated based on the monthly fish production estimatesprovided by the field staff of  NAQDA","","","","","","","","","","","",""
"","","","","","","29","","","","","",""
