"","Table 4.8:  Inland and Aquaculture Production by Type of Waterbody (Mt)","","","",""
"","System","2016","2017","2018","2019"
"","Minor Perennial Reservoirs","5,636","8,420","3,685","3,351"
"","Seasonal Tanks","10,114","4,783","5,726","4,552"
"","Villu","326","1,342","1,887","610"
"Capture Fishery","","","","",""
"","Rivers and Cannals","1,457","1,743","3,481","4,820"
"","Flood Plains","","","53","59"
"","Sub-Total","17,533","16,288","14,832","13,392"
"","Major Perennial Reservoirs","17,977","28,013","25,681","25,744"
"","Medium Perennial Reservoirs","9,596","11,123","10,007","11,147"
"Culture Base","Minor Perennial Reservoirs","12,814","12,154","18,859","21,410"
"Capture Fishery","Villu","490","922","1,641","1,537"
"","Rivers and Cannals","-","-","-","-"
"","Sub-Total","40,877","52,212","56,188","59,838"
"","Seasonal Tanks","5,726","2,179","2,239","3,690"
"","Estate Tanks","10","40","243","179"
"","Estate Ponds","","3","6","10"
"Aquaculture","","","","",""
"","Cage Culture","","","15","13"
"(Freshwater)","","","","",""
"","Pen Culture","","","6","4"
"","Ponds","212","305","384","210"
"","Sub-Total","5,948","2,527","2,893","4,106"
"","Shrimp Farms","6,030","4,630","8,180","6,400"
"","Lagoons (Fish)","3,319","5,920","4,866","5,683"
"","Ponds","32","42","137","587"
"Aquaculture","Cage Culture","120","232","352","28"
"(Brackishwater)","Pen Culture","71","19","196","280"
"","Raft","","","27","15"
"","Cement Tank","","","19","11"
"","Sub-Total","9,572","10,843","13,777","13,004"
"Total","","73,930","81,870","87,690","90,340"
"Seaweed(Wet)","","200","668","320","247"
"Source  : Statistics Unit, Ministry of Fisheries","","","","",""
